    EventNumber         parName  parEnergy (MeV)        parWeight       pos_x (cm)       pos_y (cm)       pos_z (cm)               ux               uy               uz
          59901         neutron         0.824535      0.000100452        0.0191093       0.00262814        -0.835088        -0.679976        -0.224717         -0.69795
          59901           gamma          1.28659      0.000100452        0.0191093       0.00262814        -0.835088        -0.781031         0.431642        -0.451306
          59901           gamma          1.91137      0.000100452        0.0191093       0.00262814        -0.835088        -0.142139        -0.571962         0.807872
          60550         neutron         0.911933      0.000105461       -0.0110575       0.00272164         0.149649         0.480927        -0.684184         0.548271
          60550         neutron         0.838904      0.000105461       -0.0110575       0.00272164         0.149649         0.971826        -0.057415          -0.2286
          60589         neutron          2.09979       0.00012844        0.0180122        0.0178498        -0.999846         0.273348        -0.957513        0.0919233
          61022         neutron          0.14256      0.000105951       -0.0245465      -0.00553178       -0.0741419         0.899816        -0.238512        -0.365299
          62389         neutron        0.0425303      0.000100177        0.0191075      -0.00363823         0.210831        -0.661935         0.747002        -0.061886
          62389           gamma         0.299286      0.000100177        0.0191075      -0.00363823         0.210831        -0.642121         0.154779         0.750816
          63990           gamma          1.22751       0.00010299       -0.0241029      -0.00204386        -0.434686        -0.958303         0.264554         0.108015
          64047           gamma         0.753193       0.00010344        0.0180382      -0.00237232         0.377598        -0.330443        -0.220665        -0.917668
          64478         neutron       0.00920692      0.000100013       0.00875361        0.0139747         -0.43172        -0.923814         0.177055          0.33944
          64898         neutron         0.358347      0.000103377       0.00823654        0.0121692        -0.683905        -0.993527        -0.030997         0.109281
          64900         neutron        0.0370836      0.000104283       0.00753724      -0.00975975       -0.0314283        -0.877597         0.149332         0.455547
          66305         neutron         0.729966      0.000114538         0.024757       0.00539608         0.416239         0.340861        -0.102554        -0.934504
          67075         neutron         0.485931      0.000100036        0.0108918       0.00193829        -0.452639        -0.613338        -0.568637          0.54815
          67391         neutron          0.99353      1.81547e-08       -0.0252699       -0.0070667        -0.685866        -0.540812        -0.764474        -0.350858
          68139         neutron          1.15418      0.000103824        0.0215062        0.0123596        -0.724992         0.910816         0.129043        -0.392125
          68938         neutron          2.88805      0.000173774       -0.0184115       -0.0193036        -0.329899         0.668939        -0.698638         0.253821
          69047         neutron         0.499456        0.0001019       0.00824439      -0.00542417         0.461513        -0.236934        -0.267488         0.933977
          69047           gamma         0.715301        0.0001019       0.00824439      -0.00542417         0.461513         0.389637        -0.169038         0.905323
          69531         neutron          1.21207      0.000168558        0.0254046      -0.00369301        -0.529546          0.60013        -0.733736        -0.318552
          71096         neutron          1.14486      0.000105556       0.00299049       -0.0250713         0.747989        0.0446031         0.233173         0.971412
          71162         neutron         0.553972       0.00010627       -0.0236692       -0.0010978         0.588804          0.10308         0.323728        -0.940518
          71162         neutron        0.0261601       0.00010627       -0.0236692       -0.0010978         0.588804        -0.776527        -0.477143         -0.41151
          71162           gamma         0.980522       0.00010627       -0.0236692       -0.0010978         0.588804         0.702755        -0.672103         0.233265
          72483         neutron         0.600385      0.000101056        0.0162214      -0.00448091         0.987895         0.406987         0.720811         0.561064
