    EventNumber         parName  parEnergy (MeV)        parWeight       pos_x (cm)       pos_y (cm)       pos_z (cm)               ux               uy               uz
          90761         neutron         0.314442      0.000102331         -2.43281        -0.716313        0.0503318         0.527228        -0.240088          -0.8151
          90775         neutron         0.128658      0.000100653          1.79382          2.12517        0.0491123        0.0753017        -0.562699        -0.823225
          91185           gamma          0.46636      0.000100157         -1.67328         0.112104        0.0387455        -0.493105         0.592906          0.63664
          92990         neutron         0.565065      0.000100087        -0.423828         -1.91136        0.0100295       -0.0579334         0.864559        -0.499181
          92990           gamma          2.08765      0.000100087        -0.423828         -1.91136        0.0100295         0.833062        -0.526689         0.169136
          92990           gamma         0.580451      0.000100087        -0.423828         -1.91136        0.0100295         0.608938        -0.793104       -0.0134408
          94524         neutron         0.191795      0.000100282        -0.928126         0.557108       0.00946232        -0.351741        -0.825797        -0.440837
          95397           gamma         0.648315      0.000100238         0.554755          2.40092        0.0289708         -0.18895        -0.975142        -0.115739
          95397           gamma         0.589814      0.000100238         0.554755          2.40092        0.0289708        -0.759181          0.20185          0.61879
          96824           gamma         0.976496      0.000100141           1.7903          1.90223        0.0407661       -0.0662537         0.610206        -0.789468
          96824           gamma          1.14621      0.000100141           1.7903          1.90223        0.0407661         -0.59789         0.223842         -0.76969
          97143         neutron          1.87978      0.000100286          2.30322         -2.23966       0.00947616         0.265859         0.590189         0.762231
          97143         neutron         0.864021      0.000100286          2.30322         -2.23966       0.00947616         0.955574        -0.128362         0.265333
          97143           gamma         0.541624      0.000100286          2.30322         -2.23966       0.00947616       0.00668715        -0.757594        -0.652692
         100984         neutron         0.486731      0.000100121         0.788359         0.804144        0.0236983         0.741714         0.645166         0.183362
         100984         neutron          1.11086      0.000100121         0.788359         0.804144        0.0236983         0.446901          0.47182         0.760043
         100984         neutron         0.946503      0.000100121         0.788359         0.804144        0.0236983        -0.983367         0.179056        0.0304574
         100984           gamma         0.829594      0.000100121         0.788359         0.804144        0.0236983       0.00777771         0.106476         0.994285
         102155         neutron         0.158139      0.000100532        -0.864643          2.38443        0.0257987        -0.870983        -0.122064        -0.475909
         102217         neutron         0.513085      0.000100881          2.11163         0.248235        0.0390289        -0.176256          0.91368        -0.366228
         102217           gamma            1.181      0.000100881          2.11163         0.248235        0.0390289        -0.700261        -0.706597         0.101763
         106552         neutron           1.5749      0.000117861         -0.20688         0.404604        0.0519775         0.184742         0.769056        -0.611901
         106552         neutron          1.01795      0.000117861         -0.20688         0.404604        0.0519775         0.596247        -0.111629        -0.795002
         107264         neutron          2.64093      0.000111108        -0.989164          1.68944        0.0510992        -0.453111        -0.889281       -0.0622124
         107264         neutron          2.50948      0.000111108        -0.989164          1.68944        0.0510992        -0.961726        -0.252148         0.107262
         107264           gamma          2.88059      0.000111108        -0.989164          1.68944        0.0510992        -0.593908         0.349411         0.724697
         108788         neutron         0.425603      0.000100342         -1.50925          2.35369       0.00779437         0.250383         0.120938         0.960564
         110108         neutron         0.847388      0.000100506          2.07863         -1.22809        0.0495802        -0.641913         0.588905        -0.491058
         111350           gamma         0.543011      0.000100621         0.177379        -0.568287       0.00727019         0.568142         0.332634         0.752708
         116838         neutron         0.469793      0.000100238       -0.0392789         0.867572        0.0193116        -0.747925        -0.618718         0.240409
         125959         neutron         0.510199      0.000100186         0.228897         0.713648        0.0043688        -0.642829         0.722255         0.255184
         127713           gamma         0.763915      0.000100383         -1.45927          1.73728       0.00426609         -0.54972         0.147669         0.822193
         127713           gamma         0.851338      0.000100383         -1.45927          1.73728       0.00426609         0.124013        -0.746755        -0.653436
         127782         neutron         0.481884      0.000100198         0.447962         0.719927        0.0141276         0.567679         0.501719        -0.652702
         127782           gamma          1.66114      0.000100198         0.447962         0.719927        0.0141276         0.971846         0.102436         0.212184
         127885           gamma         0.815079      0.000100209          0.30247          0.27733        0.0264459        -0.448851          0.24239        -0.860104
         127885           gamma          1.52355      0.000100209          0.30247          0.27733        0.0264459         0.430611         0.295997         -0.85262
         128024           gamma          2.47976      0.000100002          1.21021        -0.522259        0.0271516         0.440867           0.5012        -0.744604
         128024           gamma          2.14906      0.000100002          1.21021        -0.522259        0.0271516        -0.996055       -0.0760625        0.0456971
         128024           gamma          2.08085      0.000100002          1.21021        -0.522259        0.0271516         0.572041         0.339285        -0.746763
         129584         neutron          1.51057      0.000100028          1.73208         0.272383        0.0488686        0.0832628        -0.853028         -0.51518
         129584           gamma          1.29966      0.000100028          1.73208         0.272383        0.0488686        0.0227972        -0.695895         0.717781
         131481         neutron           2.1596      0.000103902        -0.172229        -0.597918        0.0500852          0.26302        -0.419366          0.86888
         131481         neutron         0.375342      0.000103902        -0.172229        -0.597918        0.0500852         0.275061        -0.165696        -0.947041
         131481         neutron          1.36814      0.000103902        -0.172229        -0.597918        0.0500852        -0.543478         0.771234        -0.331406
         131481           gamma          1.37804      0.000103902        -0.172229        -0.597918        0.0500852         0.577514        -0.319634         0.751207
         132250           gamma           1.2242      0.000100975         -1.49309         -1.66473         0.017986         0.818638         0.564229         0.107129
         133361         neutron         0.320355      0.000100168          1.96717         -1.25239        0.0378408        -0.557048         0.141436         0.818348
         133361         neutron          1.08602      0.000100168          1.96717         -1.25239        0.0378408         0.806327         0.575094         0.138212
         133361         neutron         0.333334      0.000100168          1.96717         -1.25239        0.0378408         0.149042        -0.878531         0.453839
         133361         neutron           1.9181      0.000100168          1.96717         -1.25239        0.0378408        -0.839038         0.415329         -0.35145
         133361           gamma           1.9439      0.000100168          1.96717         -1.25239        0.0378408        -0.835908        -0.453975         0.308488
         133361           gamma          1.28636      0.000100168          1.96717         -1.25239        0.0378408        -0.411412       0.00838807         0.911411
         133361           gamma         0.842392      0.000100168          1.96717         -1.25239        0.0378408         0.725339        -0.133974        -0.675229
