    EventNumber         parName  parEnergy (MeV)        parWeight       pos_x (cm)       pos_y (cm)       pos_z (cm)               ux               uy               uz
           5426         neutron         0.783656       0.00103539          1.42496         0.458957          0.50212         0.578523        -0.258621         -0.77358
           5470         neutron          1.35426        0.0010393        -0.550825        -0.846054         0.502538        -0.566417         0.416073        -0.711375
           5475         neutron          2.11502        0.0010028        -0.319321          1.72942         0.500166        -0.394858         -0.40095        -0.826635
           5495         neutron          1.24316       0.00100173          1.16455       -0.0141608         0.500102         -0.97931        0.0739814         0.188356
           5501         neutron          2.39102       0.00102016        -0.114874       -0.0827405         0.501184        -0.563407         0.351808         0.747532
           5518         neutron          0.44775       0.00101303        -0.346017         0.137659         0.500768       -0.0970403        0.0249693        -0.994967
           5521         neutron          3.97393       0.00100324         0.124037        -0.830624         0.500192         0.223268         -0.12596         0.966584
           5528         neutron          1.01178       0.00102071        -0.929956         0.428475         0.501216         0.599166         0.696661        -0.394542
           5534         neutron         0.215198       0.00104794        -0.333247        -0.262982         0.503466        -0.344824         0.933659       -0.0968347
           5541         neutron          1.04642        0.0010317         -1.16835         0.682333         0.501852        -0.243743       -0.0439294        -0.968844
           5584         neutron         0.695931       0.00105104         0.997095         -1.13489         0.503796       -0.0779443        -0.397218        -0.914408
           5601         neutron          1.29648       0.00100465        -0.332025         0.603969         0.500275        -0.896909         0.402525        -0.183106
           5630         neutron          1.08036       0.00100922        -0.277086         0.100037         0.500545         0.423854         0.764498         0.485686
           5675         neutron          1.63774       0.00102231       -0.0357716        -0.319663          0.50131        -0.640378         -0.61708         0.457305
           5732         neutron         0.659392       0.00103037         0.249029         0.782109         0.501775        -0.607212        -0.292265         0.738833
           5748         neutron         0.213461       0.00104112         0.520143       -0.0200725         0.502752         0.523355         0.227637         0.821146
           5768         neutron          1.99439       0.00104811        -0.172012       -0.0447927         0.503504         0.593685        -0.456475         0.662698
           5779         neutron          1.17993        0.0010036        -0.669052         0.433019         0.500213        0.0451706        -0.531238         0.846018
           5783         neutron          1.33991       0.00103696        -0.624382        -0.109049         0.502291        -0.418768         0.767352        -0.485596
           5792         neutron          2.37618       0.00101328        -0.148832         -1.27233         0.500783        -0.904993         0.186404        -0.382414
           5844         neutron         0.997608       0.00103353        -0.563209       -0.0834985         0.501957         -0.73333        0.0131112        -0.679746
           5846         neutron          1.62674       0.00101457      -0.00378119         0.277695         0.500859        -0.100527         0.903501         -0.41663
